team_member_id,role,groups,days online,posts,answers,edits to answers,followups,replies to followups
3471,student,,0,0,0,0,0,0
9432,student,,0,0,0,0,0,0
7110,student,,0,0,0,0,0,0
1260,student,,0,0,0,0,0,0
#N/A,student,,0,0,0,0,0,0
8071,student,,0,0,0,0,0,0
3079,student,,0,0,0,0,0,0
7206,student,,0,0,0,0,0,0
6861,student,,0,0,0,0,0,0
4950,student,,0,0,0,0,0,0
4591,student,,0,0,0,0,0,0
5199,student,,0,0,0,0,0,0
2173,student,,0,0,0,0,0,0
2174,student,,0,0,0,0,0,0
2702,student,,0,0,0,0,0,0
6020,student,,0,0,0,0,0,0
5042,student,,0,0,0,0,0,0
216,student,,0,0,0,0,0,0
6440,student,,0,0,0,0,0,0
3675,student,,0,0,0,0,0,0
4679,student,,0,0,0,0,0,0
4677,student,,0,0,0,0,0,0
5706,student,,0,0,0,0,0,0
8199,student,,0,0,0,0,0,0
6862,student,,0,0,0,0,0,0
3660,student,,0,0,0,0,0,0
6920,student,,0,0,0,0,0,0
8683,student,,0,0,0,0,0,0
5074,student,,0,0,0,0,0,0
2950,student,,0,0,0,0,0,0
7204,student,,0,0,0,0,0,0
2952,student,,0,0,0,0,0,0
9795,student,,0,0,0,0,0,0
5468,student,,0,0,0,0,0,0
1014,student,,0,0,0,0,0,0
6468,student,,0,0,0,0,0,0
7879,student,,0,0,0,0,0,0
10591,student,,0,0,0,0,0,0
8543,student,,0,0,0,0,0,0
824,student,,0,0,0,0,0,0
10510,student,,0,0,0,0,0,0
2474,student,,0,0,0,0,0,0
9909,student,,0,0,0,0,0,0
6308,student,,0,0,0,0,0,0
4184,student,,0,0,0,0,0,0
1111,student,,0,0,0,0,0,0
9388,student,,0,0,0,0,0,0
9386,student,,0,0,0,0,0,0
5372,student,,0,0,0,0,0,0
6466,student,,0,0,0,0,0,0
6232,student,,0,0,0,0,0,0
8995,student,,0,0,0,0,0,0
8779,student,,0,0,0,0,0,0
6906,student,,0,0,0,0,0,0
5465,student,,0,0,0,0,0,0
5079,student,,0,0,0,0,0,0
4592,student,,0,0,0,0,0,0
4182,student,,0,0,0,0,0,0
1936,student,,0,0,0,0,0,0
4130,student,,0,0,0,0,0,0
1668,student,,0,0,0,0,0,0
8240,student,,0,0,0,0,0,0
6448,student,,0,0,0,0,0,0
9280,student,,0,0,0,0,0,0
2703,student,,0,0,0,0,0,0
6656,student,,0,0,0,0,0,0
5250,student,,0,0,0,0,0,0
6886,student,,0,0,0,0,0,0
6864,student,,0,0,0,0,0,0
650,student,,0,0,0,0,0,0
4564,student,,0,0,0,0,0,0
9955,student,,0,0,0,0,0,0
1667,student,,0,0,0,0,0,0
1900,student,,0,0,0,0,0,0
#N/A,student,,0,0,0,0,0,0
6467,student,,0,0,0,0,0,0
101,student,,0,0,0,0,0,0
912,student,,0,0,0,0,0,0
10028,student,,0,0,0,0,0,0
6140,student,,0,0,0,0,0,0
1665,student,,0,0,0,0,0,0
5150,student,,0,0,0,0,0,0
4952,student,,0,0,0,0,0,0
3080,student,,0,0,0,0,0,0
10027,student,,0,0,0,0,0,0
7832,student,,0,0,0,0,0,0
1954,student,,0,0,0,0,0,0
5080,student,,0,0,0,0,0,0
821,student,,0,0,0,0,0,0
8198,student,,0,0,0,0,0,0
#N/A,student,,0,0,0,0,0,0
4607,student,,0,0,0,0,0,0
3506,student,,0,0,0,0,0,0
6486,student,,0,0,0,0,0,0
#N/A,student,,0,0,0,0,0,0
6975,student,,0,0,0,0,0,0
5197,student,,0,0,0,0,0,0
9520,student,,0,0,0,0,0,0
5626,student,,0,0,0,0,0,0
8780,student,,0,0,0,0,0,0
8197,student,,0,0,0,0,0,0
196,student,,0,0,0,0,0,0
9385,student,,0,0,0,0,0,0
5434,student,,0,0,0,0,0,0
6446,student,,0,0,0,0,0,0
#N/A,student,,0,0,0,0,0,0
3658,student,,0,0,0,0,0,0
5467,student,,0,0,0,0,0,0
1882,student,,0,0,0,0,0,0
2278,student,,0,0,0,0,0,0
4811,student,,0,0,0,0,0,0
9772,student,,0,0,0,0,0,0
