team_member_id,role,groups,days online,posts,answers,edits to answers,followups,replies to followups
6258,student,,0,0,0,0,0,0
2110,student,,0,0,0,0,0,0
#N/A,ta,,0,0,0,0,0,0
8844,student,,0,0,0,0,0,0
2924,student,,0,0,0,0,0,0
3,ta,,0,0,0,0,0,0
3019,student,,0,0,0,0,0,0
240,student,,0,0,0,0,0,0
611,student,,0,0,0,0,0,0
2575,student,,0,0,0,0,0,0
6703,student,,0,0,0,0,0,0
239,student,,0,0,0,0,0,0
684,student,,0,0,0,0,0,0
1975,student,,0,0,0,0,0,0
4690,student,,0,0,0,0,0,0
3448,student,,0,0,0,0,0,0
5851,student,,0,0,0,0,0,0
4232,student,,0,0,0,0,0,0
1331,student,,0,0,0,0,0,0
1636,student,,0,0,0,0,0,0
987,student,,3,0,0,0,0,0
4689,student,,0,0,0,0,0,0
5850,student,,103,14,24,7,32,75
4922,student,,0,0,0,0,0,0
#N/A,ta,,56,6,102,2,1,30
1909,instructor,,13,2,0,0,0,0
2922,student,,1,0,0,0,0,0
1275,student,,31,4,0,0,1,1
6015,student,,36,1,0,0,0,2
3408,student,,3,0,0,0,0,0
1274,student,,9,0,0,0,0,0
1329,student,,101,5,0,1,2,2
2923,student,,92,34,6,0,19,21
8843,student,,6,0,0,0,0,0
6014,student,,0,0,0,0,0,0
1893,student,,2,0,0,0,0,0
1282,student,,37,7,0,0,5,3
2904,student,,0,0,0,0,0,0
8841,student,,45,1,0,0,1,2
9319,student,,6,0,0,0,0,0
6257,student,,9,0,0,0,0,0
2902,student,,1,1,0,0,0,0
4230,student,,27,1,0,0,2,0
5091,student,,0,0,0,0,0,0
1634,student,,11,0,0,0,0,0
9320,student,,14,0,0,0,0,0
5186,student,,2,0,0,0,0,0
6016,student,,2,0,0,0,0,0
5137,student,,14,4,1,0,2,0
681,student,,42,5,3,1,4,2
3447,student,,13,0,0,0,0,0
4468,student,,0,0,0,0,0,0
627,student,,35,0,0,0,0,0
6701,student,,3,0,0,0,0,0
6647,student,,45,0,0,0,0,0
