team_member_id,role,groups,days online,posts,answers,edits to answers,followups,replies to followups
5165,student,,215,31,24,1,43,38
5177,student,,210,62,210,390,86,262
1617,student,,208,6,31,3,19,27
7261,student,,207,7,5,1,4,15
2265,student,,205,35,40,17,19,59
9475,student,,197,11,9,0,12,17
3597,student,,196,21,50,13,40,82
#N/A,student,,192,13,3,3,11,18
3572,student,,190,7,326,65,95,520
10210,student,,190,14,1,0,28,18
109,student,,185,17,36,26,26,71
3537,student,,183,5,3,0,4,4
6381,student,,183,109,9,2,71,2
4306,student,,181,1,0,0,0,1
6826,student,,181,3,0,0,1,0
1044,student,,180,5,1,0,6,7
2170,student,,178,36,7,0,35,24
10209,student,,178,40,0,1,27,4
5168,student,,176,0,0,0,0,1
3382,student,,175,1,2,1,5,3
1189,student,,174,77,42,32,85,171
977,student,,171,12,1,0,7,5
6374,student,,166,53,17,2,67,51
10655,ta,,164,16,270,24,0,333
2741,student,,164,15,1,0,34,46
2082,student,,160,10,30,4,17,38
7347,student,,160,16,1,6,25,38
677,student,,159,17,0,0,8,6
5256,student,,159,82,18,2,54,68
2380,student,,159,15,11,3,44,18
791,student,,158,8,35,32,22,65
3645,student,,153,24,0,0,10,4
10665,ta,,152,0,0,0,0,0
1542,student,,151,32,0,0,20,9
4071,student,,151,31,14,3,52,41
8045,student,,151,9,15,6,22,19
1813,student,,149,13,0,4,1,1
6036,student,,148,17,2,1,16,7
4301,student,,146,8,1,0,11,12
1045,student,,145,27,2,5,23,26
3985,student,,145,8,22,9,29,26
4298,student,,144,8,0,0,3,4
#N/A,student,,143,12,0,0,6,1
4714,student,,142,39,11,5,42,24
4946,student,,141,0,0,0,0,0
2326,student,,139,28,10,1,20,32
4715,student,,138,9,16,1,6,12
7767,student,,136,5,0,0,1,0
4722,student,,136,1,0,0,1,0
1869,student,,135,12,3,0,12,25
10657,ta,,135,0,6,1,3,8
#N/A,ta,,135,14,953,103,0,747
8822,student,,134,7,0,0,15,5
561,student,,134,17,0,0,11,2
4178,student,,133,6,14,2,5,11
790,student,,131,14,6,0,11,9
830,student,,130,2,2,1,8,19
6293,student,,130,23,5,8,28,43
8422,student,,130,3,2,0,0,2
10095,student,,128,8,2,1,6,3
2182,student,,128,2,0,0,2,2
3041,student,,128,0,0,0,1,0
8092,student,,127,133,6,1,53,47
6033,student,,125,4,3,2,14,5
8823,student,,123,8,1,1,5,2
856,student,,123,0,0,0,0,0
621,student,,122,25,6,4,12,16
6313,student,,121,17,5,0,25,23
4320,student,,121,6,2,0,12,16
2233,student,,120,9,0,0,16,5
1541,student,,120,2,0,0,3,1
4609,student,,119,27,1,0,14,13
245,student,,119,8,0,0,3,2
121,student,,119,0,1,0,4,0
8750,student,,119,1,33,2,11,17
4570,student,,118,0,2,0,5,3
4318,student,,117,4,0,0,1,0
321,student,,117,6,4,0,3,9
554,student,,116,0,0,0,0,2
9720,student,,115,0,0,0,0,1
9717,student,,115,35,2,2,21,31
8821,student,,115,8,0,0,1,2
8585,student,,115,16,3,0,42,77
7557,student,,114,6,5,2,6,2
4912,student,,114,10,41,22,23,25
3384,student,,112,1,0,0,2,0
4721,student,,111,3,1,0,1,2
9267,student,,108,0,0,0,2,0
4072,student,,108,7,3,0,2,1
1619,student,,108,0,0,0,1,3
2605,student,,108,0,0,0,2,0
345,student,,106,2,0,0,2,3
#N/A,ta,,105,0,0,0,0,0
833,student,,105,24,15,8,10,28
139,student,,104,0,0,0,0,0
385,student,,104,6,9,5,12,17
1041,student,,104,1,0,0,1,0
2477,student,,102,6,1,1,17,16
2234,student,,102,11,0,0,10,9
613,student,,102,19,1,0,21,20
6473,student,,101,2,0,0,0,0
4745,student,,101,0,0,0,1,3
2451,student,,101,2,0,0,2,4
10667,ta,,101,1,5,0,0,3
1689,student,,100,1,2,2,7,48
1816,student,,100,0,0,0,2,2
8581,student,,99,8,3,1,13,15
3429,student,,99,0,0,0,0,0
1177,student,,99,1,2,2,1,0
1618,student,,99,12,0,1,6,12
5910,student,,99,16,3,0,17,14
3476,student,,98,1,12,4,16,28
1304,student,,98,1,0,0,1,0
4151,student,,98,3,1,0,4,1
1298,student,,98,26,3,2,9,12
9321,student,,97,0,1,0,4,0
3986,student,,97,2,2,0,2,3
1262,student,,96,6,4,0,19,14
5421,student,,95,6,3,5,4,6
1815,student,,95,23,0,0,3,6
5638,student,,95,5,1,0,3,1
1772,student,,94,9,1,1,8,7
2744,student,,93,4,4,0,3,3
2349,student,,93,0,0,0,0,0
7972,student,,93,14,0,0,5,5
7249,student,,92,11,7,1,7,17
2289,student,,92,6,0,0,5,9
6100,student,,91,1,0,0,0,0
9376,student,,91,1,0,0,1,0
7140,student,,91,0,0,0,0,0
6252,student,,90,3,0,0,2,1
4723,student,,89,0,0,0,0,0
2461,student,,89,21,4,0,27,19
7897,student,,88,0,0,0,0,0
5855,student,,88,0,3,0,5,5
123,student,,87,0,0,0,0,0
485,student,,86,15,1,0,11,3
7250,student,,86,4,1,0,0,3
#N/A,ta,,85,0,9,10,0,1
2249,student,,85,0,0,0,0,5
7969,student,,85,0,0,0,10,9
1145,student,,84,6,1,1,11,17
10654,ta,,84,4,202,30,0,107
8089,student,,84,35,2,0,23,28
3993,student,,83,12,3,0,7,6
1638,student,,82,5,0,0,1,0
9945,student,,82,4,0,0,1,5
5034,student,,82,2,13,4,3,8
1620,student,,82,8,0,0,0,0
545,student,,81,35,26,0,46,93
5637,student,,80,0,0,0,0,0
5907,student,,80,0,0,0,0,0
3746,student,,80,10,2,0,10,8
9473,student,,80,5,0,0,1,0
2449,student,,79,0,0,0,0,0
5909,student,,79,6,0,0,1,4
6097,student,,79,0,1,2,1,0
1527,student,,79,2,0,0,2,0
1418,student,,78,0,0,0,0,0
10658,ta,,78,4,14,1,0,32
#N/A,student,,76,12,33,26,33,52
5733,student,,76,1,3,1,0,4
1605,student,,76,2,0,0,1,1
7841,student,,76,0,1,0,4,5
1133,student,,76,0,1,0,0,3
1609,student,,75,0,0,0,0,0
9285,student,,75,12,24,4,16,29
1679,student,,74,2,4,2,1,4
4909,student,,73,0,0,0,0,0
4055,student,,73,12,2,2,24,89
829,student,,73,3,0,0,4,0
3034,student,,72,0,0,0,0,0
1814,student,,72,0,0,0,0,0
8829,student,,72,16,8,1,7,16
7765,student,,71,3,0,0,6,5
6519,student,,71,0,8,1,3,4
9266,student,,71,4,1,0,2,5
2267,student,,71,0,0,0,0,1
3761,student,,70,8,4,2,11,16
789,student,,70,0,1,0,1,2
6333,student,,70,1,0,0,1,1
689,student,,70,17,1,1,14,21
248,student,,70,3,0,0,1,1
8289,student,,69,2,10,7,9,18
6145,student,,69,1,0,0,3,1
2368,student,,68,4,0,0,1,0
2365,student,,68,4,1,1,3,9
1261,student,,68,12,3,5,11,18
4931,student,,68,13,10,3,11,19
2315,student,,67,0,0,0,0,0
#N/A,student,,67,5,2,0,6,10
3762,student,,67,4,2,0,1,10
6373,student,,66,11,3,0,22,4
179,student,,66,1,0,0,2,4
4777,student,,66,7,5,7,3,3
1769,student,,66,0,1,0,2,5
6513,student,,66,10,71,23,30,147
1773,student,,66,3,0,0,3,0
1136,student,,66,0,0,0,0,0
3569,student,,65,0,0,0,0,0
1179,student,,65,0,0,0,0,0
180,student,,65,0,0,0,0,0
1770,student,,65,3,0,0,3,2
9373,student,,64,2,0,0,0,0
8437,student,,64,14,1,0,5,4
3065,student,,63,0,1,0,1,0
6518,student,,63,0,0,0,0,0
4137,student,,62,0,0,0,0,0
481,student,,62,3,0,0,4,4
836,student,,62,0,0,0,0,0
6584,student,,62,1,0,0,4,2
776,student,,62,8,7,7,9,23
4901,student,,62,14,3,0,2,7
246,student,,60,0,0,0,0,1
1053,student,,59,7,4,0,8,17
10093,student,,59,2,2,1,3,1
3995,student,,59,0,0,0,2,4
6515,student,,59,4,16,5,6,16
7465,student,,59,92,22,5,52,183
1685,student,,58,9,22,11,14,57
#N/A,student,,58,0,0,0,2,0
2290,student,,58,4,0,0,1,6
4177,student,,58,0,0,0,0,0
10234,student,,58,0,0,0,3,3
2479,student,,57,0,0,0,2,0
4713,student,,57,5,6,2,8,5
8090,student,,57,0,0,0,0,0
