team_member_id,user_id,Role
1000,11,Instructor
1001,2,Instructor
1002,24,Instructor
1003,2939,Participant
1004,141,Participant
1005,336,Participant
1006,100,Participant
1007,65,Participant
1008,2694,Participant
1009,3487,Participant
1010,2496,Participant
1011,816,Participant
1012,2227,Participant
1013,837,Participant
1014,734,Participant
1015,740,Participant
1016,729,Participant
1017,723,Participant
1018,3502,Participant
1019,#N/A,Participant
1020,#N/A,Participant
1021,#N/A,Participant
1022,456,Participant
1023,1611,Participant
1024,474,Participant
1025,1314,Participant
1026,1381,Participant
1027,1073,Participant
1028,643,Participant
1029,#N/A,Participant
1032,1568,Participant
1033,858,Participant
1034,825,Participant
1035,455,Participant
1036,1034,Participant
1037,3433,Participant
1038,3431,Participant
1039,3432,Participant
1040,3270,Participant
1041,3485,Participant
1042,4429,Participant
1043,3482,Participant
1044,#N/A,Participant
1045,1226,Participant
1046,1151,Participant
1047,1186,Participant
1050,1521,Participant
1051,2238,Participant
1052,895,Participant
1053,4333,Participant
1054,1707,Participant
1055,1725,Participant
1056,2745,Participant
1057,1482,Participant
1058,724,Participant
1059,#N/A,Participant
1060,2208,Participant
1061,391,Participant
1062,376,Participant
1063,372,Participant
1064,703,Participant
1065,6,Instructor
1066,31,Instructor
1067,#N/A,Instructor
1068,27,Instructor
1069,797,Participant
1070,1852,Participant
1071,1249,Participant
1072,4547,Participant
1073,982,Participant
1074,993,Participant
1075,1178,Participant
1076,1000,Participant
1077,593,Participant
1078,677,Participant
1079,737,Participant
1080,4195,Participant
1081,2008,Participant
1082,4648,Participant
1083,1350,Participant
1084,#N/A,Participant
1085,1694,Participant
1086,2371,Participant
1087,2399,Participant
1088,955,Participant
1089,975,Participant
1090,936,Participant
1091,5005,Participant
1092,2793,Participant
1093,933,Participant
1094,1425,Participant
1095,1626,Participant
1096,1906,Participant
1097,3489,Participant
1098,205,Participant
1099,178,Participant
1100,#N/A,Participant
1104,1225,Participant
1105,4169,Participant
1106,1250,Participant
1107,#N/A,Participant
1108,418,Participant
1109,2468,Participant
1110,3196,Participant
1113,1152,Participant
1114,636,Participant
1115,1202,Participant
1116,1167,Participant
1119,2387,Participant
1120,437,Participant
1121,1045,Participant
1122,#N/A,Participant
1123,1362,Participant
1124,4374,Participant
1125,4421,Participant
1126,4423,Participant
1127,3512,Participant
1128,186,Participant
1129,#N/A,Participant
1130,4516,Participant
1131,158,Participant
1132,532,Participant
1133,388,Participant
1134,1615,Participant
1137,1995,Participant
1138,1989,Participant
1139,2927,Participant
1140,898,Participant
1141,951,Participant
1142,1795,Participant
1143,1601,Participant
1144,1348,Participant
1145,1351,Participant
1146,1827,Participant
1149,527,Participant
1150,432,Participant
1151,#N/A,Participant
